,Type,Year Built,Parking Spaces,Area population,Median age,Total households,Median year built,Median household income,Bedrooms,Baths,Square Meters,Lot size (acres),Price
390,Residential,1988,1,23470,38.10,8337,1979,46282,3.0,2.0,114.46,0.16,195000
391,Residential,1962,2,2066,39.90,770,1992,50938,2.0,2.0,92.9,0.23,125000
392,Residential,1974,3,2066,39.90,770,1992,50938,3.0,3.0,193.14,,475000
393,Residential,2021,2,2066,39.90,770,1992,50938,3.0,2.0,171.31,0.37,389000
394,Residential,1972,2,29357,38.80,11536,1973,56321,3.0,2.0,113.81,0.13,499000
395,Residential,1960,1,30141,45.80,11010,1986,87743,3.0,1.0,122.91,1.5,425000
396,Residential,1996,2,29357,38.80,11536,1973,56321,3.0,3.0,174.38,0.16,659000
397,Residential,1979,2,29357,38.80,11536,1973,56321,3.0,4.0,165.64,0.14,799000
398,Residential,1963,2,29357,38.80,11536,1973,56321,4.0,3.0,237.18,0.17,1450000
399,Residential,2016,4,29357,38.80,11536,1973,56321,7.0,6.0,473.24,1.05,2295000
400,Residential,1978,2,29357,38.80,11536,1973,56321,5.0,3.0,272.76,0.4,1200000
401,Residential,2021,6,42494,43.50,14147,1999,132470,6.0,6.0,440.26,0.74,3000000
402,Residential,2004,3,30922,30.60,8496,1979,42305,4.0,3.0,240.62,0.22,365000
403,Residential,2018,3,37463,37.10,12342,2003,118010,6.0,5.0,328.13,0.32,659000
404,Residential,1978,1,29294,35.90,11302,1960,56769,2.0,2.0,120.87,0.06,199000
405,Residential,1994,3,48473,35.80,15615,1994,87379,4.0,3.0,288.0,0.21,625900
406,Residential,1953,2,29294,35.90,11302,1960,56769,4.0,3.0,248.05,0.36,699000
407,Residential,1964,2,43209,28.60,14130,1965,38435,3.0,2.0,142.51,0.14,289900
408,Residential,2004,2,37463,37.10,12342,2003,118010,3.0,2.0,188.68,0.14,449900
409,Residential,1992,2,38349,43.10,15945,1982,71825,3.0,2.0,198.53,0.16,382000
410,Residential,1930,2,8381,40.50,3220,1963,48493,3.0,1.0,73.21,,249000
411,Residential,1959,2,8381,40.50,3220,1963,48493,4.0,3.0,147.62,0.143,254000
412,Residential,1952,2,8381,40.50,3220,1963,48493,3.0,2.0,208.57,1.122,319000
413,Residential,1990,5,15043,35.80,5352,1977,47205,4.0,5.0,382.57,5.09,695000
414,Residential,1946,1,8381,40.50,3220,1963,48493,2.0,1.0,72.46,0.172,220000
415,Residential,1980,2,15043,35.80,5352,1977,47205,3.0,3.0,158.4,7.64,615900
416,Residential,2006,2,15043,35.80,5352,1977,47205,3.0,2.0,188.41,0.178,370000
417,Residential,1980,2,15043,35.80,5352,1977,47205,3.0,2.0,142.51,0.186,270750
418,Residential,1958,2,8381,40.50,3220,1963,48493,3.0,2.0,136.29,0.143,330000
419,Residential,1978,2,15043,35.80,5352,1977,47205,3.0,2.0,131.18,0.152,314900
420,Residential,2020,2,15043,35.80,5352,1977,47205,3.0,3.0,158.03,0.164,394000
421,Residential,1949,1,2788,27.50,856,1976,43688,3.0,2.0,153.57,0.161,314000
422,Residential,2004,4,15043,35.80,5352,1977,47205,3.0,2.0,226.96,,579000
423,Residential,1969,2,15043,35.80,5352,1977,47205,5.0,4.0,258.92,0.26,410000
424,Residential,1934,1,23467,39.10,9870,1953,42500,3.0,2.0,148.64,0.12,349999
425,Residential,2018,2,14305,39.70,5395,1975,46302,3.0,2.0,133.78,0.15,370000
426,Residential,1936,2,19099,37.20,7333,1983,52758,2.0,1.0,92.9,8.2,699700
427,Residential,2004,3,25503,41.30,9863,1967,51462,3.0,3.0,380.9,7.49,1150000
428,Residential,1977,475,25503,41.30,9863,1967,51462,2.0,2.0,96.25,,69000
429,Residential,1958,1,14305,39.70,5395,1975,46302,2.0,2.0,126.16,0.11,295000
430,Residential,1996,440,19099,37.20,7333,1983,52758,2.0,2.0,83.61,,72000
431,Residential,1989,2,19099,37.20,7333,1983,52758,3.0,2.0,136.94,0.2,329000
432,Residential,2006,2,25503,41.30,9863,1967,51462,3.0,3.0,230.12,0.25,709000
433,Residential,1978,3,1554,37.80,665,1971,49306,2.0,2.0,133.78,,269000
434,Residential,2000,2,23467,39.10,9870,1953,42500,3.0,2.0,127.83,0.12,449000
435,Residential,1992,2,25503,41.30,9863,1967,51462,3.0,3.0,158.77,0.04,235000
436,Residential,1972,2,1493,38.30,493,1973,56250,2.0,2.0,177.26,,449000
437,Residential,1930,2,27255,31.80,7043,1984,43460,3.0,2.0,89.93,0.147,179900
438,Residential,2013,2,40019,32.90,8825,1992,40759,2.0,2.0,78.32,0.022,140000
439,Residential,1973,2,27255,31.80,7043,1984,43460,4.0,2.0,109.62,0.154,229000
440,Residential,2013,2,27255,31.80,7043,1984,43460,3.0,3.0,178.0,0.026,239000
441,Residential,2006,6,40019,32.90,8825,1992,40759,4.0,2.0,168.52,0.147,329995
442,Residential,1979,2,27255,31.80,7043,1984,43460,4.0,3.0,130.06,0.117,200000
443,Residential,2000,4,27255,31.80,7043,1984,43460,3.0,2.0,116.5,0.146,245000
444,Residential,1969,6,15118,34.20,4980,1988,27779,2.0,1.0,89.19,0.08,35000
445,Residential,1930,3,8979,34.60,2402,1977,53042,3.0,2.0,148.36,0.292,270000
446,Residential,1951,4,50484,33.00,12945,1979,46648,3.0,2.0,107.77,0.27,219000
447,Residential,2020,4,27255,31.80,7043,1984,43460,4.0,2.0,144.93,0.145,299900
448,Residential,1984,2,40019,32.90,8825,1992,40759,3.0,1.0,95.32,,209950
449,Residential,1964,5,27255,31.80,7043,1984,43460,4.0,3.0,188.41,0.154,265000
450,Residential,1961,4,50484,33.00,12945,1979,46648,3.0,2.0,170.94,0.49,330500
451,Residential,2002,2,1704,31.20,461,1985,27054,3.0,2.0,104.05,0.15,182900
452,Residential,2006,6,23388,30.00,5135,1999,84544,4.0,2.0,169.18,0.14,315000
453,Residential,2006,4,23388,30.00,5135,1999,84544,4.0,3.0,220.74,0.118,345000
454,Residential,1956,3,50484,33.00,12945,1979,46648,3.0,1.0,89.84,0.171,185000
455,Residential,1975,2,570,47.20,288,1961,41625,2.0,2.0,136.01,0.15,339000
456,Residential,1973,6,14412,46.00,6159,1975,57027,3.0,2.0,148.46,0.8,359900
457,Residential,1940,3,14412,46.00,6159,1975,57027,3.0,2.0,120.96,0.29,299900
458,Residential,1940,1,1899,38.40,829,1964,43859,2.0,2.0,148.64,0.14,259000
459,Residential,1969,2,55269,30.00,11937,1981,41877,3.0,2.0,118.17,0.161,228700
460,Residential,1970,2,20929,32.20,6969,1992,56274,4.0,2.0,121.7,0.14,260000
461,Residential,1960,2,73401,31.00,22240,1976,53254,3.0,2.0,148.46,0.18,230000
462,Residential,1960,2,84809,27.40,22006,1977,38891,3.0,2.0,143.44,0.423,345900
463,Residential,1993,2,34839,40.20,11574,1987,63288,4.0,3.0,157.38,1.29,429000
464,Residential,1990,2,20929,32.20,6969,1992,56274,4.0,2.0,140.84,0.149,295000
465,Residential,2003,2,52637,29.70,13981,1998,72946,4.0,2.0,140.84,0.15,285000
466,Residential,1990,2,20929,32.20,6969,1992,56274,4.0,2.0,140.84,0.15,295000
467,Residential,1955,2,53702,34.60,19454,1976,43659,3.0,2.0,162.95,0.156,185000
468,Residential,2013,3,28590,34.40,8934,2002,108767,4.0,4.0,280.01,0.25,440000
469,Residential,1979,2,6343,50.90,2707,1975,42758,4.0,3.0,151.99,0.15,199000
470,Residential,1978,2,66800,33.30,21799,1981,59904,3.0,2.0,166.11,,310000
471,Residential,1992,2,66800,33.30,21799,1981,59904,4.0,2.0,199.28,0.23,325000
472,Residential,2002,3,66800,33.30,21799,1981,59904,4.0,3.0,230.77,,375000
473,Residential,2004,3,66800,33.30,21799,1981,59904,4.0,3.0,174.19,,405000
474,Residential,1955,5,15550,37.90,6129,1976,29069,4.0,2.0,182.37,0.207,299000
475,Residential,2005,2,6044,43.00,2284,1992,63384,4.0,3.0,152.73,0.611,385000
476,Residential,1979,1,11627,45.80,4724,1984,51469,3.0,2.0,116.69,0.172,305000
477,Residential,2005,6,11627,45.80,4724,1984,51469,4.0,4.0,269.23,30.08,1499999
478,Residential,1928,2,11092,49.70,4618,1979,45763,2.0,2.0,139.35,0.226,280000
479,Residential,1984,2,3019,37.20,1206,1973,41579,3.0,2.0,162.67,0.141,290000
480,Residential,1970,6,11627,45.80,4724,1984,51469,3.0,4.0,210.89,0.75,999000
481,Residential,1982,2,15550,37.90,6129,1976,29069,3.0,2.0,192.49,0.243,265000
482,Residential,1994,5,11627,45.80,4724,1984,51469,2.0,2.0,124.02,0.17,259900
483,Residential,1975,2,3757,55.70,1679,1979,44611,3.0,3.0,119.1,0.224,165000
484,Residential,1945,4,20553,32.30,5233,1980,56369,3.0,1.0,,,4750000
485,Residential,1982,2,3336,56.90,1591,1978,55043,4.0,3.0,222.97,0.54,310000
486,Residential,1935,1,3336,56.90,1591,1978,55043,2.0,1.0,81.75,0.17,119500
487,Residential,1964,3,3336,56.90,1591,1978,55043,4.0,2.0,145.48,0.17,135000
488,Residential,1960,1,758,48.90,407,1974,42202,3.0,,167.22,520.0,1395000
489,Residential,1947,2,32389,44.30,16947,1960,87870,3.0,2.0,150.41,0.071,1425000
490,Residential,1989,2,19053,42.10,5996,1989,116298,3.0,3.0,255.85,6.08,890000
491,Residential,1965,1,36964,40.70,16647,1968,127658,1.0,1.0,65.03,0.934,549000
492,Residential,1964,2,29589,38.10,11413,1945,86031,4.0,3.0,225.47,0.118,1850000
493,Residential,1969,2,37350,37.40,11458,1987,112664,3.0,2.0,128.3,0.147,646000
494,Residential,1924,2,14660,40.60,6410,1962,82164,2.0,1.0,98.66,0.136,1450000
495,Residential,1956,2,56821,38.60,15139,1965,76551,4.0,2.0,113.71,0.117,650000
496,Residential,1950,4,59394,37.80,25225,1963,79088,3.0,2.0,132.48,0.144,1479000
497,Residential,1922,2,29516,39.70,9724,1947,80547,2.0,1.0,92.53,0.16,825000
498,MultiFamily,1923,1,63911,35.10,20622,1951,59746,2.0,1.0,,0.121,1375000
499,Residential,1981,2,11371,45.20,4166,1958,88365,4.0,3.0,295.24,0.62,1700000
500,Residential,1964,2,50587,38.90,29183,1962,67667,4.0,5.0,311.41,0.36,3725000
501,Residential,2003,2,40266,31.30,9972,1993,63261,3.0,2.0,167.87,0.17,429900
502,Residential,1978,2,32096,36.90,10277,1998,126753,4.0,2.0,150.87,0.153,649900
503,Residential,2020,2,21394,35.50,10521,1975,65592,3.0,4.0,302.4,,4225000
504,Residential,1985,2,66590,32.80,17850,1967,62791,2.0,3.0,118.45,0.911,429000
505,Residential,1978,4,19650,39.00,8979,1969,137188,2.0,3.0,148.64,0.323,1350000
506,Residential,1972,3,12690,42.00,4044,1986,80074,4.0,2.0,199.74,0.78,449900
507,Residential,1961,2,39381,32.00,12305,1987,52207,3.0,2.0,140.65,0.21,265000
508,Residential,1978,2,8981,47.10,3543,1979,52597,3.0,2.0,138.8,2.78,299500
509,Residential,1985,1,50894,28.00,12275,1983,41129,2.0,1.0,83.7,0.18,210000
510,Residential,1991,2,39381,32.00,12305,1987,52207,5.0,2.0,138.15,0.14,254000
511,Residential,2001,2,32013,47.60,13429,1964,145602,3.0,3.0,201.97,0.02,1944000
512,Residential,1929,1,11408,51.10,5905,1966,103424,3.0,3.0,144.28,0.05,1950000
513,Residential,1963,4,17452,47.10,7202,1979,89871,3.0,2.0,179.77,0.26,1175000
514,Residential,1927,2,12797,50.70,5355,1967,166313,3.0,3.0,299.61,0.16,3400000
515,Residential,1954,6,30048,47.40,12139,1968,102947,4.0,2.0,103.59,0.14,899000
516,Residential,1998,3,219,38.50,76,1977,117813,4.0,3.0,246.19,0.22,1989000
517,Residential,1954,1,19035,45.10,7306,1973,106425,3.0,2.0,114.46,0.17,775000
518,Residential,1998,2,42482,39.00,15679,1963,87495,4.0,4.0,201.41,0.23,1589000
519,Residential,1941,3,32013,47.60,13429,1964,145602,3.0,3.0,158.31,0.09,1995000
520,Residential,1986,1,10898,51.10,4843,1982,51833,3.0,2.0,139.35,0.45,275000
521,Residential,2004,2,10898,51.10,4843,1982,51833,3.0,2.0,151.43,0.35,355000
522,Residential,2000,4,10898,51.10,4843,1982,51833,3.0,2.0,166.11,,484000
523,Residential,1984,2,10898,51.10,4843,1982,51833,4.0,3.0,278.71,146.73,1400000
524,Residential,1990,2,10898,51.10,4843,1982,51833,3.0,3.0,213.68,2.019,385000
525,Residential,2014,4,10898,51.10,4843,1982,51833,2.0,3.0,303.23,21.0,640000
526,Residential,1991,6,10898,51.10,4843,1982,51833,6.0,4.0,281.68,6.97,385500
527,Residential,2020,2,10898,51.10,4843,1982,51833,3.0,2.0,159.23,3.31,429000
528,Residential,1994,2,123,68.80,58,1975,108092,4.0,3.0,271.92,0.28,950000
529,Residential,2008,3,10898,51.10,4843,1982,51833,4.0,2.0,297.29,3.75,455000
530,Residential,1943,1,14632,44.60,5872,1973,45833,3.0,2.0,,0.17,495000
531,Residential,1976,2,14632,44.60,5872,1973,45833,3.0,2.0,139.35,1.22,499000
532,Residential,2001,3,31847,39.30,11396,1973,50000,5.0,7.0,929.02,255.0,16900000
533,Residential,1950,4,14632,44.60,5872,1973,45833,2.0,1.0,,,500000
534,Residential,1951,2,251,31.80,107,1973,57452,1.0,2.0,,0.18,624000
535,Residential,2007,6,31847,39.30,11396,1973,50000,3.0,3.0,278.71,0.45,930000
536,Residential,1990,1,339,49.90,158,1981,39231,3.0,2.0,195.47,640.0,575000
537,Residential,1991,2,5500,46.20,2304,1977,42097,2.0,2.0,139.35,1.47,156500
538,Residential,1929,1,5500,46.20,2304,1977,42097,2.0,1.0,69.12,0.11,75000
539,Residential,1964,2,5500,46.20,2304,1977,42097,1.0,1.0,66.89,3.4,100000
540,Residential,1969,2,56,73.80,42,1980,0,3.0,2.0,149.39,12.44,129500
541,Residential,1983,1,1918,40.00,722,1961,38500,3.0,2.0,113.71,0.14,84000
542,Residential,1936,1,138,61.70,90,1982,26250,2.0,1.0,90.86,0.62,96000
543,Residential,1992,1,380,52.60,166,1953,55000,3.0,3.0,,17.0,595000
544,Residential,2003,1,9359,34.70,3080,1979,66500,2.0,3.0,108.88,,799000
545,Residential,1980,1,9359,34.70,3080,1979,66500,1.0,1.0,79.43,,339000
546,Residential,2001,1,9359,34.70,3080,1979,66500,2.0,2.0,112.78,,649000
547,Residential,1982,1,9359,34.70,3080,1979,66500,2.0,2.0,98.57,,349000
548,Residential,1970,1,9359,34.70,3080,1979,66500,4.0,2.0,97.55,,699000
549,Residential,2007,1,9359,34.70,3080,1979,66500,1.0,1.0,51.0,,375000
550,Residential,1963,1,9359,34.70,3080,1979,66500,2.0,1.0,94.39,0.02,559900
551,Residential,1966,1,9359,34.70,3080,1979,66500,2.0,2.0,99.59,0.02,599900
552,Residential,1972,1,9359,34.70,3080,1979,66500,2.0,1.0,92.9,,465000
553,Residential,1976,2,12833,57.90,5489,1967,95644,4.0,4.0,290.04,0.243,4850000
554,Residential,2005,2,18778,26.80,4133,1987,55788,4.0,3.0,258.55,0.138,520000
555,Residential,1972,2,32411,38.50,13044,1970,81807,4.0,3.0,256.04,0.24,1295000
556,Residential,1959,4,4117,60.30,1750,1970,138542,4.0,3.0,173.91,0.204,1495000
557,Residential,1956,3,12833,57.90,5489,1967,95644,3.0,2.0,106.56,0.142,1175000
558,MultiFamily,1935,8,60408,27.40,12899,1976,49659,7.0,,161.65,0.149,749000
559,Residential,1961,2,3379,57.90,1674,1953,91313,3.0,2.0,170.57,0.092,1799000
560,Residential,1927,1,3379,57.90,1674,1953,91313,3.0,3.0,183.39,0.092,3100000
561,Residential,1989,170,65256,32.20,16920,1980,65203,2.0,2.0,106.93,,319000
562,Residential,2001,4,69142,41.90,24302,1974,88765,4.0,3.0,307.04,0.18,1549000
563,Residential,1977,2,69142,41.90,24302,1974,88765,3.0,3.0,254.83,0.23,1375000
564,Residential,1926,4,27523,38.50,10211,1966,73408,2.0,2.0,95.88,0.21,799000
565,Residential,1997,5,69142,41.90,24302,1974,88765,3.0,3.0,366.41,0.5,2250000
566,Residential,1993,2,69142,41.90,24302,1974,88765,4.0,3.0,252.42,0.27,829000
567,Residential,2000,3,69142,41.90,24302,1974,88765,3.0,4.0,302.86,0.46,1999000
568,Residential,1910,16,69142,41.90,24302,1974,88765,3.0,1.0,209.4,171.58,4900000
569,Residential,1974,5,8677,50.80,3614,1972,89095,3.0,3.0,185.9,0.57,995000
570,Residential,1956,4,69142,41.90,24302,1974,88765,3.0,2.0,110.46,0.14,669000
571,Residential,1920,3,27523,38.50,10211,1966,73408,3.0,2.0,127.09,0.17,1100000
572,Residential,2004,4,20306,37.30,5442,1998,98247,6.0,3.0,358.79,0.17,799000
573,Residential,1968,4,69142,41.90,24302,1974,88765,2.0,3.0,117.43,0.03,787500
574,Residential,1990,4,69142,41.90,24302,1974,88765,4.0,2.0,218.51,0.22,1275000
575,Residential,1988,2,27523,38.50,10211,1966,73408,4.0,4.0,193.79,0.14,1029000
576,Residential,1980,2,25519,50.20,11136,1975,46771,4.0,2.0,322.65,5.88,629500
577,Residential,1989,2,20519,53.20,8347,1984,67873,3.0,2.0,157.0,7.88,365000
578,Residential,1977,2,20519,53.20,8347,1984,67873,3.0,2.0,110.74,1.5,390000
579,Residential,1981,2,20519,53.20,8347,1984,67873,3.0,2.0,111.48,2.03,329000
580,Residential,1996,2,17910,54.60,7510,1980,60985,4.0,4.0,238.11,,675000
581,Residential,1989,2,9370,55.60,3950,1984,65500,4.0,3.0,283.17,0.36,467000
582,Residential,1979,2,20519,53.20,8347,1984,67873,3.0,3.0,204.38,0.31,500000
583,Residential,2012,2,50545,42.80,16559,1979,123737,4.0,3.0,232.26,0.115,998888
584,Residential,1969,1,62718,35.80,21363,1968,80218,1.0,1.0,72.93,,365000
585,MultiFamily,1957,2,23878,39.80,6715,1970,57126,,,,0.527,2400000
586,Residential,1986,2,20194,43.60,6792,1987,142615,2.0,2.0,94.11,,450000
587,Residential,1966,2,32362,30.10,12736,1987,79366,2.0,2.0,117.99,0.074,600000
588,Residential,1975,2,34110,45.60,14230,1973,81347,3.0,2.0,152.73,0.102,899000
589,Residential,1977,2,28819,38.90,9698,1976,105108,3.0,3.0,148.27,0.08,825000
590,Residential,1983,1,34406,45.40,14247,1973,97459,1.0,1.0,70.05,,379000
591,Residential,1953,8,23867,44.90,8502,1972,102929,4.0,4.0,301.84,0.403,1349000
592,Residential,2003,3,50545,42.80,16559,1979,123737,5.0,4.0,372.17,0.241,1488000
593,Residential,1955,2,69502,36.80,21332,1966,79500,3.0,2.0,137.03,0.179,699900
594,Residential,1939,3,2154,51.20,847,1947,103935,3.0,2.0,97.18,0.124,630000
595,Residential,1965,4,15813,43.20,4952,1972,99576,4.0,3.0,217.3,0.116,899900
596,Residential,1990,3,31327,42.70,12084,1986,83289,3.0,3.0,279.54,,739900
597,Residential,2014,2,52394,43.30,19420,2003,81267,4.0,2.0,164.72,,459000
598,Residential,1988,2,3336,56.90,1591,1978,55043,3.0,2.0,120.77,0.46,379000
599,Residential,1983,1,3336,56.90,1591,1978,55043,2.0,2.0,121.24,0.66,240000
600,Residential,1983,1,3044,49.50,1399,1984,52083,2.0,2.0,74.32,0.08,99900
601,Residential,1959,4,2005,50.40,812,1965,42277,4.0,2.0,151.9,60.0,464000
602,Residential,2000,2,209,62.60,92,1998,86250,3.0,3.0,229.0,1.96,584900
603,Residential,1967,2,6254,42.10,2413,1974,49614,3.0,3.0,183.95,0.42,375000
604,Residential,1949,1,6254,42.10,2413,1974,49614,4.0,2.0,123.0,0.21,235000
605,Residential,1948,2,6254,42.10,2413,1974,49614,3.0,2.0,152.45,0.3,219500
606,Residential,1977,2,3336,56.90,1591,1978,55043,4.0,3.0,288.18,0.49,1600000
607,Residential,2004,3,3044,49.50,1399,1984,52083,3.0,3.0,319.58,3.98,657000
608,Residential,1992,3,2005,50.40,812,1965,42277,3.0,2.0,220.55,10.37,495000
609,MultiFamily,1988,4,33578,29.80,7868,1990,61938,,,,0.19,799900
610,Residential,1988,2,68128,32.30,17952,2003,90906,4.0,3.0,185.99,0.17,499000
611,Residential,2017,2,68128,32.30,17952,2003,90906,3.0,4.0,132.57,0.023,397000
612,Residential,1975,6,65347,37.60,22942,1988,42757,3.0,2.0,125.42,0.15,375000
613,Residential,1988,2,41107,35.20,12968,1995,83189,3.0,2.0,150.5,0.18,469000
614,Residential,2002,3,35072,37.10,10403,2002,106403,5.0,3.0,331.29,0.24,790000
615,Residential,2003,2,56511,30.50,14959,1986,55399,3.0,2.0,146.97,0.2,424900
616,Residential,2001,3,51322,31.70,13517,1980,64505,4.0,3.0,253.81,0.1,589800
617,Residential,2014,4,65347,37.60,22942,1988,42757,2.0,2.0,133.5,0.12,399999
618,Residential,2002,2,60944,30.60,13944,1983,52325,4.0,2.0,138.8,0.14,319000
619,Residential,1980,2,81214,31.50,18963,1979,66232,3.0,2.0,111.95,0.07,389000
620,Residential,1988,3,6279,50.80,2543,1989,107395,4.0,3.0,229.84,10.25,789000
621,Residential,2015,2,54648,37.10,20519,1978,64784,4.0,3.0,179.77,,569000
622,Residential,1996,2,41757,39.50,16303,1976,59693,3.0,2.0,137.22,,449900
623,Residential,1980,2,52646,35.00,15429,1985,83305,3.0,2.0,162.58,8.19,954400
624,Residential,1910,2,52646,35.00,15429,1985,83305,3.0,2.0,112.78,0.09,479000
625,Residential,1983,1,4181,44.20,1378,1981,77644,2.0,3.0,123.28,0.02,515000
626,Residential,2020,6,52646,35.00,15429,1985,83305,4.0,3.0,261.52,,1165000
627,Residential,1993,3,99284,29.00,24837,1975,50730,4.0,3.0,164.44,0.172,514900
628,Residential,2017,2,96575,32.70,24524,1995,90172,3.0,3.0,187.76,0.1,485000
629,Residential,1961,1,5729,47.30,2276,1977,79340,5.0,3.0,171.68,0.149,995000
630,Residential,1980,2,5729,47.30,2276,1977,79340,4.0,2.0,226.22,0.253,650000
631,Residential,1974,1,22484,41.60,8396,1973,101520,1.0,1.0,85.75,,1195000
632,Residential,2003,2,53072,33.10,14756,2002,96617,3.0,3.0,163.14,0.07,639900
633,Residential,1960,4,49933,40.60,15796,1978,105788,3.0,2.0,136.85,,662000
634,Residential,1977,1,22565,31.80,11097,1992,72170,2.0,1.0,76.55,,325000
635,Residential,1977,1,29911,32.80,11476,1973,68368,2.0,2.0,91.32,,425000
636,Residential,1950,5,37040,34.50,10410,1977,64510,3.0,2.0,97.08,0.15,549900
637,Residential,2019,1,39313,39.10,23297,2001,66202,2.0,2.0,108.7,,859900
638,Residential,2017,6,86811,35.30,21999,1980,64942,5.0,3.0,206.89,,707000
639,Residential,1986,4,13863,48.30,5924,1975,140625,3.0,3.0,243.13,0.2,2875000
640,Residential,1974,8,18558,39.40,6411,1987,92287,3.0,3.0,224.45,,679900
641,Residential,1990,6,26701,33.20,9175,1970,51838,3.0,2.0,128.02,0.14,815000
642,Residential,1988,6,49933,40.60,15796,1978,105788,4.0,3.0,254.09,,1295000
643,Residential,1982,1,37040,34.50,10410,1977,64510,1.0,1.0,62.71,2.98,269900
644,Residential,1981,1,34754,40.00,16860,0,155551,2.0,2.0,141.95,,1360000
645,Residential,1922,1,35004,36.00,17208,1947,114819,3.0,2.0,109.35,,1425000
646,Residential,1912,1,44239,33.30,18204,0,152071,2.0,1.0,120.03,,1395000
647,Residential,1922,1,35004,36.00,17208,1947,114819,4.0,4.0,202.71,,2295000
648,Residential,1926,1,26527,42.50,12995,0,66811,3.0,4.0,,,1995000
649,Residential,2006,2,29689,36.20,13961,1992,150451,3.0,2.0,163.69,,1595000
650,Residential,1989,1,56677,36.90,33108,0,88593,2.0,2.0,110.55,,1198000
651,Residential,1927,2,56677,36.90,33108,0,88593,2.0,1.0,123.0,,1650000
652,Residential,1908,1,44239,33.30,18204,0,152071,2.0,2.0,181.16,,1995000
653,Residential,2019,3,21552,33.00,5453,1999,81339,4.0,3.0,238.39,0.11,588888
654,Residential,1994,5,44753,40.60,17438,1987,65694,3.0,3.0,316.52,27.84,2999500
655,Residential,1922,2,44753,40.60,17438,1987,65694,2.0,1.0,126.9,0.161,695000
656,Residential,2021,2,33806,38.60,12791,1981,82548,3.0,2.0,167.22,1.61,750000
657,Residential,1994,8,8914,45.50,3285,1988,84366,6.0,4.0,371.61,7.03,1275000
658,Residential,1951,2,33806,38.60,12791,1981,82548,4.0,3.0,223.15,3.2,879000
659,Residential,1998,4,2947,58.60,1478,1974,63373,3.0,2.0,145.3,0.064,998000
660,Residential,1982,3,28423,35.00,12088,1978,65846,3.0,2.0,204.48,0.23,939000
661,Residential,1981,2,1125,57.00,451,1990,90321,3.0,2.0,143.07,66.3,1349950
662,Residential,1997,2,44753,40.60,17438,1987,65694,4.0,3.0,216.09,0.277,748000
663,Residential,1999,2,1604,42.70,497,1993,81917,4.0,3.0,178.84,0.172,639000
664,Residential,1985,2,30136,48.90,11634,1982,83210,2.0,3.0,159.61,0.058,599000
665,MultiFamily,1951,5,36550,21.60,8574,1974,45611,2.0,2.0,,0.149,789900
666,Residential,2020,2,28423,35.00,12088,1978,65846,3.0,4.0,198.07,0.028,1169000
667,Residential,1996,2,44753,40.60,17438,1987,65694,3.0,3.0,195.09,0.191,579900
668,Residential,2015,7,27757,45.10,10248,1959,158269,6.0,8.0,896.04,3.173,35000000
669,Residential,1997,3,4929,49.00,1939,1981,92557,4.0,2.0,182.0,,759000
670,Residential,1964,2,58431,22.20,15977,1972,62547,4.0,2.0,137.68,0.14,899000
671,Residential,1959,2,58431,22.20,15977,1972,62547,3.0,3.0,111.48,0.25,1099000
672,Residential,1975,1,56406,34.60,17978,1971,59375,3.0,2.0,149.02,0.06,464900
673,Residential,1987,10,86703,32.20,23480,1974,63979,3.0,2.0,188.96,5.67,1399500
674,Residential,1978,1,24837,49.40,10153,1974,96600,1.0,1.0,55.28,0.012,899000
675,Residential,1962,2,24837,49.40,10153,1974,96600,2.0,2.0,112.04,0.17,889000
676,Residential,1968,4,15217,43.00,5644,1979,106113,2.0,2.0,113.43,0.148,899000
677,Residential,1998,10,86703,32.20,23480,1974,63979,7.0,7.0,339.74,1.295,2999999
678,Residential,2000,3,9030,44.00,4095,1972,80011,2.0,3.0,138.33,0.063,1550000
679,Residential,1966,2,9238,48.40,3991,1961,90130,2.0,2.0,134.71,0.776,747000
680,Residential,2020,3,44475,40.40,18058,1987,51512,3.0,2.0,192.68,0.68,545000
681,Residential,1964,2,33901,38.30,12658,1978,52693,3.0,2.0,167.78,0.23,369000
682,Residential,2020,3,44475,40.40,18058,1987,51512,3.0,2.0,185.53,,465000
683,Residential,1977,2,33901,38.30,12658,1978,52693,3.0,2.0,138.98,0.59,314900
684,Residential,2020,3,33901,38.30,12658,1978,52693,4.0,3.0,206.99,,514800
685,Residential,1947,2,34571,43.30,13939,1975,51831,3.0,1.0,104.61,0.26,229900
686,Residential,2013,3,33901,38.30,12658,1978,52693,4.0,2.0,197.14,0.28,549900
687,Residential,2020,3,44475,40.40,18058,1987,51512,3.0,2.0,185.53,,465000
688,Residential,1978,1,44475,40.40,18058,1987,51512,3.0,2.0,159.05,0.15,169900
689,Residential,1990,3,34571,43.30,13939,1975,51831,4.0,2.0,232.26,0.29,539000
690,Residential,2021,3,33901,38.30,12658,1978,52693,4.0,3.0,219.06,,532800
691,Residential,2021,3,33901,38.30,12658,1978,52693,4.0,3.0,219.06,,521800
692,Residential,2021,3,33901,38.30,12658,1978,52693,4.0,3.0,205.13,,479800
693,Residential,1990,3,34571,43.30,13939,1975,51831,3.0,2.0,232.26,,389900
694,Residential,1992,2,34571,43.30,13939,1975,51831,3.0,2.0,147.06,,465000
695,Residential,2020,3,33901,38.30,12658,1978,52693,4.0,3.0,229.65,,550000
